unit_id,source,condition,age_days,brand_tier,model_a,model_b,model_c,model_d,utility_a,utility_b
24,Store-Customer,NotLiked,7,Standard,Resale,Resale,DiscountSale,Resale,61.060539904793806,61.060539904793806
25,Store-Customer,MissingPart,4,Standard,Repair,Repair,Donation,Repair,25.860279627039702,25.860279627039702
26,Internet/Shipping,MissingPart,6,Standard,Repair,Resale,Recycling,Repair,25.79062874188773,6.83718862256632
27,Internet/Shipping,NotLiked,132,Standard,Resale,Resale,Repackaging,Resale,53.70948269000051,53.70948269000051
28,Internet/Shipping,NotLiked,4,Premium,Resale,Resale,Donation,Resale,92.62275499300719,92.62275499300719
29,Internet/Shipping,ColorMismatch,9,Standard,Resale,Resale,Recycling,Resale,31.686413257050923,31.686413257050923
30,Internet/Shipping,Torn,14,Standard,Recycling,Resale,Refurbishing,Repair,5.854024214760049,-2.548658595079984
31,Internet/Shipping,NotLiked,0,Standard,Resale,Resale,Repackaging,Resale,61.49999999999999,61.49999999999999
32,Store-Employee,Stained,12,Standard,Refurbishing,Resale,Refurbishing,Refurbishing,28.58250995016757,1.0332015920268107
33,Internet/Shipping,NotLiked,6,Standard,Resale,Resale,Resale,Resale,61.12313173539791,61.12313173539791
34,Internet/Shipping,SeamDefect,7,Standard,Donation,Resale,Recycling,Repair,12.29257642117182,1.5511711005326463
35,Internet/Shipping,Undamaged,2,Standard,Resale,Resale,DiscountSale,Resale,65.46713291137763,65.46713291137763
36,Internet/Shipping,MissingPart,22,Premium,Repair,Repair,Repair,Repair,42.35761234018853,42.35761234018853
37,Internet/Shipping,NotLiked,63,Standard,Resale,Resale,DiscountSale,Resale,57.65343884241538,57.65343884241538
38,Internet/Shipping,ColorMismatch,0,Standard,Resale,Resale,Donation,Resale,32.0,32.0
39,Internet/Shipping,NotLiked,11,Standard,Resale,Resale,Refurbishing,Resale,60.81079756284822,60.81079756284822
40,Internet/Shipping,Stained,23,Standard,Refurbishing,Resale,Recycling,Refurbishing,28.204186932064694,0.9726699091303512
41,Internet/Shipping,NotLiked,3,Standard,Resale,Resale,Resale,Resale,61.311283216712496,61.311283216712496
42,Store-Customer,Stained,24,Standard,Refurbishing,Refurbishing,Donation,Refurbishing,28.169999841526824,28.169999841526824
43,Internet/Shipping,Undamaged,10,Standard,Resale,Resale,Donation,Resale,64.93831394431967,64.93831394431967
44,Internet/Shipping,NotLiked,84,Standard,Resale,Resale,Repackaging,Resale,56.42416913399285,56.42416913399285
45,Store-Customer,Undamaged,102,Standard,Resale,Resale,Resale,Resale,59.1514651859803,59.1514651859803
46,Store-Customer,Undamaged,0,Standard,Resale,Resale,DiscountSale,Resale,65.6,65.6
47,Internet/Shipping,ColorMismatch,6,Standard,Resale,Resale,Repackaging,Resale,31.79062874188773,31.79062874188773
48,Internet/Shipping,Undamaged,9,Standard,Resale,Resale,DiscountSale,Resale,65.00418518839676,65.00418518839676
49,Internet/Shipping,NotLiked,3,Standard,Resale,Resale,Donation,Resale,61.311283216712496,61.311283216712496
50,Internet/Shipping,SeamDefect,3,Premium,Repair,Resale,Donation,Repair,36.608462412534365,5.068547202785417
51,Internet/Shipping,NotLiked,55,Premium,Resale,Resale,Donation,Resale,87.94284648160422,87.94284648160422
52,Internet/Shipping,ColorMismatch,0,Standard,Resale,Resale,Refurbishing,Resale,32.0,32.0
53,Store-Customer,NotLiked,1,Standard,Resale,Resale,Repackaging,Resale,61.43703148950262,61.43703148950262
54,Internet/Shipping,NotLiked,198,Standard,Resale,Resale,Repackaging,Resale,50.183300747683354,50.183300747683354
55,Internet/Shipping,NotLiked,1,Standard,Resale,Resale,Repackaging,Resale,61.43703148950262,61.43703148950262
56,Store-Customer,MissingPart,5,Standard,Repair,Resale,Repair,Repair,25.82543677174388,6.847631031523164
57,Internet/Shipping,NotLiked,70,Standard,Resale,Resale,Recycling,Resale,57.240810654074735,57.240810654074735
58,Internet/Shipping,NotLiked,4,Premium,Resale,Resale,Resale,Resale,92.62275499300719,92.62275499300719
59,Internet/Shipping,NotLiked,6,Standard,Resale,Resale,Donation,Resale,61.12313173539791,61.12313173539791
60,Internet/Shipping,ColorMismatch,0,Standard,Resale,Resale,Donation,Resale,32.0,32.0
61,Internet/Shipping,ColorMismatch,34,Standard,Resale,Resale,DiscountSale,Resale,30.83000266231273,30.83000266231273
62,Internet/Shipping,ColorMismatch,3,Premium,Resale,Resale,Donation,Resale,49.34273601392708,49.34273601392708
63,Internet/Shipping,NotLiked,9,Premium,Resale,Resale,Repackaging,Resale,92.1533157940375,92.1533157940375
64,Store-Customer,MissingPart,0,Standard,Repair,Resale,Donation,Repair,26.0,6.9
65,Internet/Shipping,NotLiked,3,Premium,Resale,Resale,Repackaging,Resale,92.71692482506873,92.71692482506873
66,Internet/Shipping,NotLiked,394,Standard,Resale,Resale,Refurbishing,Resale,40.98430554314798,40.98430554314798
67,Internet/Shipping,Undamaged,9,Standard,Resale,Resale,DiscountSale,Resale,65.00418518839676,65.00418518839676
68,Internet/Shipping,Torn,134,Standard,Disposal,Resale,Refurbishing,Repair,0.0,-2.9389347738883314
69,Internet/Shipping,NotLiked,6,Standard,Resale,Resale,Resale,Resale,61.12313173539791,61.12313173539791
70,Internet/Shipping,ColorMismatch,12,Standard,Resale,Resale,Repackaging,Resale,31.58250995016757,31.58250995016757
71,Internet/Shipping,NotLiked,29,Standard,Resale,Resale,Donation,Resale,59.6992372613961,59.6992372613961
72,Internet/Shipping,NotLiked,3,Standard,Resale,Resale,Refurbishing,Resale,61.311283216712496,61.311283216712496
73,Store-Customer,MissingPart,2,Standard,Repair,Resale,Refurbishing,Repair,25.930069953356657,6.8790209860069975
74,Internet/Shipping,NotLiked,116,Premium,Resale,Resale,Resale,Resale,82.64990860161116,82.64990860161116
75,Internet/Shipping,NotLiked,7,Standard,Resale,Resale,Donation,Resale,61.060539904793806,61.060539904793806
76,Internet/Shipping,ColorMismatch,10,Standard,Resale,Resale,Repackaging,Resale,31.651744181220877,31.651744181220877
77,Internet/Shipping,Stained,252,Standard,Disposal,Resale,Refurbishing,Refurbishing,0.0,-0.147429466813902
78,Internet/Shipping,NotLiked,5,Standard,Resale,Resale,Refurbishing,Resale,61.18578618913899,61.18578618913899
79,Internet/Shipping,NotLiked,6,Standard,Resale,Resale,Recycling,Resale,61.12313173539791,61.12313173539791
80,Store-Customer,Undamaged,0,Standard,Resale,Resale,Donation,Resale,65.6,65.6
81,Internet/Shipping,ColorMismatch,4,Standard,Resale,Resale,DiscountSale,Resale,31.860279627039702,31.860279627039702
82,Internet/Shipping,MissingPart,4,Standard,Repair,Resale,Refurbishing,Repair,25.860279627039702,6.85808388811191
83,Store-Customer,NotLiked,10,Standard,Resale,Resale,Resale,Resale,60.87313952619759,60.87313952619759
84,Internet/Shipping,ColorMismatch,6,Standard,Resale,Resale,Donation,Resale,31.79062874188773,31.79062874188773
85,Internet/Shipping,NotLiked,9,Standard,Resale,Resale,Recycling,Resale,60.93554386269166,60.93554386269166
86,Internet/Shipping,ColorMismatch,7,Premium,Resale,Resale,Donation,Resale,49.133783253994835,49.133783253994835
87,Internet/Shipping,NotLiked,2,Premium,Resale,Resale,Resale,Resale,92.81118887406298,92.81118887406298
88,Internet/Shipping,MissingPart,4,Standard,Repair,Repair,Refurbishing,Repair,25.860279627039702,25.860279627039702
89,Internet/Shipping,NotLiked,17,Standard,Resale,Resale,Donation,Resale,60.43805213199931,60.43805213199931
90,Internet/Shipping,ColorMismatch,5,Standard,Resale,Resale,Donation,Resale,31.82543677174388,31.82543677174388
91,Internet/Shipping,NotLiked,5,Standard,Resale,Resale,Repackaging,Resale,61.18578618913899,61.18578618913899
92,Internet/Shipping,NotLiked,53,Premium,Resale,Resale,Donation,Resale,88.12191117957718,88.12191117957718
93,Internet/Shipping,SeamDefect,14,Standard,Disposal,Refurbishing,Donation,Repair,0.0,12.308048429520097
94,Internet/Shipping,ColorMismatch,2,Standard,Resale,Resale,Repackaging,Resale,31.930069953356657,31.930069953356657
95,Internet/Shipping,NotLiked,37,Standard,Resale,Resale,DiscountSale,Resale,59.21159652699037,59.21159652699037
96,Internet/Shipping,Stained,7,Standard,Refurbishing,Refurbishing,Refurbishing,Refurbishing,28.755855502663223,28.755855502663223
97,Internet/Shipping,Torn,0,Standard,Recycling,Resale,Repair,Repair,6.0,-2.5
98,Internet/Shipping,NotLiked,6,Premium,Resale,Resale,Donation,Resale,92.43469760309688,92.43469760309688
99,Internet/Shipping,NotLiked,5,Standard,Resale,Resale,Recycling,Resale,61.18578618913899,61.18578618913899
100,Store-Employee,MissingPart,1,Premium,Repair,Repair,Repair,Repair,43.44752624125218,43.44752624125218
101,Store-Customer,NotLiked,20,Premium,Resale,Resale,Donation,Resale,91.12877462748837,91.12877462748837
102,Internet/Shipping,NotLiked,5,Standard,Resale,Resale,Refurbishing,Resale,61.18578618913899,61.18578618913899
103,Internet/Shipping,ColorMismatch,88,Standard,Resale,Resale,Donation,Resale,29.051630685316397,29.051630685316397
104,Store-Employee,MissingPart,112,Standard,Donation,Refurbishing,Repair,Repair,12.64577450625625,14.404084308758751
105,Store-Customer,NotLiked,12,Standard,Resale,Resale,Donation,Resale,60.748517910301615,60.748517910301615
106,Internet/Shipping,NotLiked,16,Standard,Resale,Resale,Donation,Resale,60.50002116348296,60.50002116348296
107,Internet/Shipping,NotLiked,16,Standard,Resale,Resale,Donation,Resale,60.50002116348296,60.50002116348296
108,Internet/Shipping,Stained,50,Standard,Refurbishing,Resale,Recycling,Refurbishing,27.293029857524992,0.8268847772039978
109,Internet/Shipping,Stained,4,Standard,Refurbishing,Refurbishing,Recycling,Refurbishing,28.860279627039702,28.860279627039702
110,Store-Customer,NotLiked,2,Standard,Resale,Resale,Donation,Resale,61.37412591604198,61.37412591604198
111,Internet/Shipping,Torn,9,Standard,Recycling,Resale,Refurbishing,Repair,5.905923977115277,-2.531358674294908
112,Internet/Shipping,MissingPart,12,Premium,Repair,Repair,Donation,Repair,42.87376492525135,42.87376492525135
113,Internet/Shipping,Undamaged,6,Premium,Resale,Resale,Recycling,Resale,98.25329191438003,98.25329191438003
114,Internet/Shipping,Undamaged,11,Standard,Resale,Resale,Recycling,Resale,64.872508538562,64.872508538562
115,Internet/Shipping,Undamaged,0,Standard,Resale,Resale,Recycling,Resale,65.6,65.6
116,Store-Customer,NotLiked,53,Premium,Resale,Resale,Recycling,Resale,88.12191117957718,88.12191117957718
117,Store-Customer,MissingPart,2,Standard,Repair,Repair,Repair,Repair,25.930069953356657,25.930069953356657
118,Internet/Shipping,NotLiked,0,Standard,Resale,Resale,Resale,Resale,61.49999999999999,61.49999999999999
119,Internet/Shipping,NotLiked,7,Standard,Resale,Resale,Refurbishing,Resale,61.060539904793806,61.060539904793806
120,Internet/Shipping,NotLiked,3,Standard,Resale,Resale,Resale,Resale,61.311283216712496,61.311283216712496
121,Internet/Shipping,ColorMismatch,3,Standard,Resale,Resale,Repackaging,Resale,31.89515734261805,31.89515734261805
122,Internet/Shipping,NotLiked,0,Standard,Resale,Resale,Donation,Resale,61.49999999999999,61.49999999999999
123,Internet/Shipping,NotLiked,1,Standard,Resale,Resale,Recycling,Resale,61.43703148950262,61.43703148950262
124,Internet/Shipping,ColorMismatch,4,Premium,Resale,Resale,Repackaging,Resale,49.290419440559546,49.290419440559546
125,Internet/Shipping,NotLiked,7,Standard,Resale,Resale,DiscountSale,Resale,61.060539904793806,61.060539904793806
126,Internet/Shipping,NotLiked,3,Standard,Resale,Resale,Recycling,Resale,61.311283216712496,61.311283216712496
127,Internet/Shipping,Undamaged,5,Standard,Resale,Resale,Resale,Resale,65.26832986631337,65.26832986631337
128,Internet/Shipping,Torn,2,Standard,Recycling,Donation,Donation,Repair,5.979020986006997,10.972027981342661
129,Internet/Shipping,NotLiked,0,Standard,Resale,Resale,Recycling,Resale,61.49999999999999,61.49999999999999
130,Internet/Shipping,NotLiked,0,Standard,Resale,Resale,Recycling,Resale,61.49999999999999,61.49999999999999
131,Internet/Shipping,NotLiked,2,Standard,Resale,Resale,Recycling,Resale,61.37412591604198,61.37412591604198
132,Store-Customer,NotLiked,20,Standard,Resale,Resale,Recycling,Resale,60.25251641832558,60.25251641832558
133,Internet/Shipping,Undamaged,80,Standard,Resale,Resale,Resale,Resale,60.48723703471128,60.48723703471128
134,Internet/Shipping,Torn,30,Standard,Disposal,Donation,Recycling,Repair,0.0,10.586237469679112
135,Internet/Shipping,NotLiked,11,Standard,Resale,Resale,Donation,Resale,60.81079756284822,60.81079756284822
136,Internet/Shipping,Undamaged,14,Premium,Resale,Resale,Repackaging,Resale,97.46323004022045,97.46323004022045
137,Store-Employee,MissingPart,1,Standard,Repair,Resale,Recycling,Repair,25.965017494168123,6.889505248250437
138,Internet/Shipping,NotLiked,27,Premium,Resale,Resale,Resale,Resale,90.48263732404983,90.48263732404983
139,Store-Customer,NotLiked,25,Standard,Resale,Resale,Repackaging,Resale,59.94452445778495,59.94452445778495
140,Internet/Shipping,NotLiked,204,Standard,Resale,Resale,Repackaging,Resale,49.87412938479943,49.87412938479943
141,Internet/Shipping,MissingPart,234,Premium,Repair,Repair,Donation,Repair,32.546495334518156,32.546495334518156
142,Internet/Shipping,NotLiked,6,Premium,Resale,Resale,Refurbishing,Resale,92.43469760309688,92.43469760309688
143,Store-Customer,Stained,26,Standard,Refurbishing,Refurbishing,Refurbishing,Refurbishing,28.10172813630622,28.10172813630622
144,Internet/Shipping,NotLiked,110,Standard,Resale,Resale,Repackaging,Resale,54.937550523681274,54.937550523681274
145,Internet/Shipping,NotLiked,3,Standard,Resale,Resale,DiscountSale,Resale,61.311283216712496,61.311283216712496
146,Internet/Shipping,ColorMismatch,110,Standard,Resale,Resale,DiscountSale,Resale,28.354194735378485,28.354194735378485
147,Internet/Shipping,Stained,0,Premium,Refurbishing,Refurbishing,Refurbishing,Refurbishing,46.5,46.5
148,Internet/Shipping,MissingPart,55,Standard,Donation,Repair,Repair,Repair,13.563490089185965,24.12698017837193
149,Internet/Shipping,NotLiked,23,Premium,Resale,Resale,Donation,Resale,90.85130471657467,90.85130471657467
150,Internet/Shipping,NotLiked,0,Standard,Resale,Resale,Resale,Resale,61.49999999999999,61.49999999999999
151,Store-Customer,Torn,9,Standard,Recycling,Donation,Donation,Repair,5.905923977115277,10.874565302820368
152,Store-Customer,SeamDefect,0,Standard,Donation,Repair,Refurbishing,Repair,12.399999999999999,20.999999999999996
153,Internet/Shipping,Undamaged,23,Standard,Resale,Resale,DiscountSale,Resale,64.08795517092292,64.08795517092292
154,Internet/Shipping,NotLiked,22,Premium,Resale,Resale,Refurbishing,Resale,90.94370221233935,90.94370221233935
155,Internet/Shipping,SeamDefect,9,Premium,Repair,Repair,Refurbishing,Repair,36.32665789701875,36.32665789701875
156,Internet/Shipping,ColorMismatch,160,Standard,Resale,Resale,Recycling,Resale,26.825032613817392,26.825032613817392
157,Internet/Shipping,NotLiked,0,Standard,Resale,Resale,Resale,Resale,61.49999999999999,61.49999999999999
158,Internet/Shipping,Torn,5,Standard,Recycling,Donation,Recycling,Repair,5.947631031523164,10.930174708697551
159,Internet/Shipping,NotLiked,6,Standard,Resale,Resale,Recycling,Resale,61.12313173539791,61.12313173539791
160,Store-Customer,Torn,0,Standard,Recycling,Donation,Donation,Repair,6.0,11.0
161,Internet/Shipping,NotLiked,6,Premium,Resale,Resale,DiscountSale,Resale,92.43469760309688,92.43469760309688
162,Store-Customer,MissingPart,4,Premium,Repair,Repair,Recycling,Repair,43.290419440559546,43.290419440559546
163,Internet/Shipping,ColorMismatch,3,Standard,Resale,Resale,Repackaging,Resale,31.89515734261805,31.89515734261805
164,Internet/Shipping,NotLiked,7,Standard,Resale,Resale,Repackaging,Resale,61.060539904793806,61.060539904793806
165,Internet/Shipping,ColorMismatch,81,Standard,Resale,Resale,Repackaging,Resale,29.27677920056128,29.27677920056128
166,Internet/Shipping,ColorMismatch,2,Standard,Resale,Resale,Donation,Resale,31.930069953356657,31.930069953356657
167,Store-Customer,Torn,97,Standard,Disposal,Donation,Refurbishing,Repair,0.0,9.705784085865817
168,Store-Customer,Undamaged,6,Standard,Resale,Resale,Resale,Resale,65.20219460958668,65.20219460958668
169,Internet/Shipping,MissingPart,7,Standard,Repair,Resale,Refurbishing,Repair,25.755855502663223,6.826756650798968
170,Store-Employee,SeamDefect,10,Standard,Donation,Repair,Repair,Repair,12.246767439737189,20.686569763098795
171,Internet/Shipping,MissingPart,7,Standard,Repair,Repair,Repair,Repair,25.755855502663223,25.755855502663223
172,Internet/Shipping,NotLiked,2,Standard,Resale,Resale,Resale,Resale,61.37412591604198,61.37412591604198
173,Internet/Shipping,NotLiked,14,Standard,Resale,Resale,Donation,Resale,60.6241452885603,60.6241452885603
174,Store-Customer,SeamDefect,2,Standard,Donation,Repair,Recycling,Repair,12.36923077947693,20.93706295802099
175,Internet/Shipping,Undamaged,6,Standard,Resale,Resale,Donation,Resale,65.20219460958668,65.20219460958668
176,Internet/Shipping,MissingPart,10,Standard,Donation,Repair,Refurbishing,Repair,14.325872090610439,25.651744181220877
177,Internet/Shipping,NotLiked,7,Standard,Resale,Resale,Donation,Resale,61.060539904793806,61.060539904793806
178,Store-Employee,ColorMismatch,83,Standard,Resale,Resale,Resale,Resale,29.212290152704362,29.212290152704362
179,Store-Customer,Undamaged,7,Standard,Resale,Resale,DiscountSale,Resale,65.13612545506012,65.13612545506012
180,Internet/Shipping,NotLiked,36,Standard,Resale,Resale,Recycling,Resale,59.27233848943675,59.27233848943675
181,Store-Customer,Undamaged,22,Standard,Resale,Resale,DiscountSale,Resale,64.15297563090546,64.15297563090546
182,Store-Customer,Undamaged,71,Standard,Resale,Resale,Resale,Resale,61.04221582648487,61.04221582648487
183,Internet/Shipping,NotLiked,54,Standard,Resale,Resale,Repackaging,Resale,58.188222709613285,58.188222709613285
184,Internet/Shipping,NotLiked,2,Standard,Resale,Resale,Donation,Resale,61.37412591604198,61.37412591604198
185,Store-Customer,NotLiked,9,Standard,Resale,Resale,Repackaging,Resale,60.93554386269166,60.93554386269166
186,Internet/Shipping,ColorMismatch,7,Standard,Resale,Resale,Repackaging,Resale,31.755855502663223,31.755855502663223
187,Internet/Shipping,NotLiked,47,Standard,Resale,Resale,Resale,Resale,58.60750604819337,58.60750604819337
188,Internet/Shipping,Undamaged,14,Standard,Resale,Resale,Repackaging,Resale,64.67548669348031,64.67548669348031
189,Internet/Shipping,Torn,1,Standard,Recycling,Donation,Repair,Repair,5.9895052482504365,10.98600699766725
190,Internet/Shipping,Torn,152,Standard,Disposal,Donation,Refurbishing,Repair,0.0,9.025835930375727
191,Store-Customer,SeamDefect,7,Premium,Repair,Repair,Recycling,Repair,36.42040492859535,36.42040492859535
192,Internet/Shipping,NotLiked,10,Standard,Resale,Resale,Recycling,Resale,60.87313952619759,60.87313952619759
193,Internet/Shipping,NotLiked,19,Standard,Resale,Resale,Recycling,Resale,60.31429982129678,60.31429982129678
194,Store-Customer,ColorMismatch,0,Standard,Resale,Resale,Repackaging,Resale,32.0,32.0
195,Internet/Shipping,Undamaged,8,Standard,Resale,Resale,DiscountSale,Resale,65.07012233666453,65.07012233666453
196,Internet/Shipping,Undamaged,63,Standard,Resale,Resale,Resale,Resale,61.53974100032735,61.53974100032735
197,Internet/Shipping,NotLiked,0,Standard,Resale,Resale,Repackaging,Resale,61.49999999999999,61.49999999999999
198,Store-Customer,NotLiked,12,Premium,Resale,Resale,Resale,Resale,91.87277686545242,91.87277686545242
199,Internet/Shipping,SeamDefect,5,Standard,Donation,Resale,Refurbishing,Repair,12.323192179567307,1.5650873543487762
200,Internet/Shipping,NotLiked,12,Standard,Resale,Resale,DiscountSale,Resale,60.748517910301615,60.748517910301615
201,Store-Customer,NotLiked,4,Premium,Resale,Resale,Repackaging,Resale,92.62275499300719,92.62275499300719
202,Store-Employee,Stained,269,Standard,Disposal,Refurbishing,Donation,Refurbishing,0.0,20.74501394768696
203,Internet/Shipping,SeamDefect,60,Standard,Disposal,Donation,Refurbishing,Repair,0.0,11.50317381719743
204,Internet/Shipping,NotLiked,2,Standard,Resale,Resale,Donation,Resale,61.37412591604198,61.37412591604198
205,Internet/Shipping,NotLiked,5,Standard,Resale,Resale,Repackaging,Resale,61.18578618913899,61.18578618913899
206,Internet/Shipping,NotLiked,9,Standard,Resale,Resale,Refurbishing,Resale,60.93554386269166,60.93554386269166
207,Internet/Shipping,NotLiked,17,Premium,Resale,Resale,Donation,Resale,91.40707819799897,91.40707819799897
208,Internet/Shipping,NotLiked,5,Standard,Resale,Resale,DiscountSale,Resale,61.18578618913899,61.18578618913899
209,Internet/Shipping,NotLiked,5,Standard,Resale,Resale,Refurbishing,Resale,61.18578618913899,61.18578618913899
210,Internet/Shipping,NotLiked,5,Standard,Resale,Resale,Donation,Resale,61.18578618913899,61.18578618913899
211,Internet/Shipping,Undamaged,80,Standard,Resale,Resale,Repackaging,Resale,60.48723703471128,60.48723703471128
212,Internet/Shipping,NotLiked,4,Standard,Resale,Resale,Donation,Resale,61.24850332867146,61.24850332867146
213,Internet/Shipping,ColorMismatch,44,Standard,Resale,Resale,Donation,Resale,30.49338851155663,30.49338851155663
214,Store-Customer,Stained,5,Standard,Refurbishing,Resale,Recycling,Refurbishing,28.82543677174388,1.0720698834790205
215,Internet/Shipping,Torn,125,Standard,Disposal,Donation,Recycling,Repair,0.0,9.354956636184335
216,Internet/Shipping,NotLiked,0,Premium,Resale,Resale,Refurbishing,Resale,93.0,93.0
217,Internet/Shipping,NotLiked,6,Standard,Resale,Resale,Resale,Resale,61.12313173539791,61.12313173539791
218,Internet/Shipping,Torn,56,Standard,Disposal,Donation,Repair,Repair,0.0,10.237547902465547
219,Store-Customer,Undamaged,44,Premium,Resale,Resale,Recycling,Resale,94.55615725793639,94.55615725793639
220,Internet/Shipping,Torn,2,Standard,Recycling,Donation,Donation,Repair,5.979020986006997,10.972027981342661
221,Internet/Shipping,NotLiked,7,Premium,Resale,Resale,Resale,Resale,92.3408098571907,92.3408098571907
222,Internet/Shipping,Undamaged,3,Standard,Resale,Resale,Recycling,Resale,65.40079895097429,65.40079895097429
223,Internet/Shipping,NotLiked,6,Standard,Resale,Resale,Donation,Resale,61.12313173539791,61.12313173539791
224,Store-Employee,SeamDefect,3,Standard,Donation,Repair,Repair,Repair,12.353869230751945,20.905641608356248
225,Internet/Shipping,NotLiked,81,Standard,Resale,Resale,Donation,Resale,56.598202561010304,56.598202561010304
226,Store-Customer,SeamDefect,1,Standard,Donation,Repair,Refurbishing,Repair,12.384607697433974,20.96851574475131
227,Internet/Shipping,Undamaged,16,Standard,Resale,Resale,DiscountSale,Resale,64.54446678367646,64.54446678367646
228,Internet/Shipping,NotLiked,0,Standard,Resale,Resale,Recycling,Resale,61.49999999999999,61.49999999999999
229,Internet/Shipping,Undamaged,0,Standard,Resale,Resale,Recycling,Resale,65.6,65.6
230,Internet/Shipping,NotLiked,12,Standard,Resale,Resale,Refurbishing,Resale,60.748517910301615,60.748517910301615
231,Internet/Shipping,Undamaged,2,Standard,Resale,Resale,Recycling,Resale,65.46713291137763,65.46713291137763
232,Internet/Shipping,NotLiked,9,Standard,Resale,Resale,DiscountSale,Resale,60.93554386269166,60.93554386269166
233,Store-Employee,SeamDefect,0,Standard,Donation,Repair,Repair,Repair,12.399999999999999,20.999999999999996
234,Internet/Shipping,NotLiked,40,Premium,Resale,Resale,Donation,Resale,89.29460199989452,89.29460199989452
235,Store-Customer,Stained,18,Standard,Refurbishing,Refurbishing,Recycling,Refurbishing,28.37563613254052,28.37563613254052
236,Store-Customer,NotLiked,130,Standard,Resale,Resale,Donation,Resale,53.820012147995364,53.820012147995364
237,Internet/Shipping,NotLiked,6,Premium,Resale,Resale,Recycling,Resale,92.43469760309688,92.43469760309688
238,Store-Customer,SeamDefect,7,Standard,Donation,Resale,Refurbishing,Repair,12.29257642117182,1.5511711005326463
239,Internet/Shipping,NotLiked,1,Standard,Resale,Resale,Refurbishing,Resale,61.43703148950262,61.43703148950262
240,Internet/Shipping,Undamaged,10,Standard,Resale,Resale,Donation,Resale,64.93831394431967,64.93831394431967
241,Store-Customer,ColorMismatch,2,Standard,Resale,Resale,Resale,Resale,31.930069953356657,31.930069953356657
242,Store-Customer,NotLiked,0,Standard,Resale,Resale,Recycling,Resale,61.49999999999999,61.49999999999999
243,Internet/Shipping,NotLiked,7,Standard,Resale,Resale,Resale,Resale,61.060539904793806,61.060539904793806
244,Internet/Shipping,NotLiked,4,Premium,Resale,Resale,Recycling,Resale,92.62275499300719,92.62275499300719
245,Internet/Shipping,NotLiked,1,Standard,Resale,Resale,Recycling,Resale,61.43703148950262,61.43703148950262
246,Store-Customer,SeamDefect,5,Standard,Donation,Repair,Repair,Repair,12.323192179567307,20.842893094569494
247,Internet/Shipping,NotLiked,1,Standard,Resale,Resale,Donation,Resale,61.43703148950262,61.43703148950262
248,Internet/Shipping,Torn,9,Standard,Recycling,Resale,Refurbishing,Repair,5.905923977115277,-2.531358674294908
249,Internet/Shipping,NotLiked,6,Premium,Resale,Resale,Donation,Resale,92.43469760309688,92.43469760309688
